seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
Gem -0.26386 0.50371 -0.82259 4.41 -0.17248 0.4247 -0.88875 3.06
Gem -0.17248 0.4247 -0.88875 3.06 -0.11827 0.3455 -0.93093 4.13
Gem -0.17248 0.4247 -0.88875 3.06 -0.09239 0.38291 -0.91915 2.87
Gem -0.09239 0.38291 -0.91915 2.87 -0.05993 0.3828 -0.92188 3.31
Gem -0.05993 0.3828 -0.92188 3.31 -0.01651 0.39497 -0.91854 4.16
Gru 0.70574 -0.68861 0.16658 4.28 0.66932 -0.68829 0.27975 3.97
Gru 0.66932 -0.68829 0.27975 3.97 0.60294 -0.73088 0.31981 1.73
Gru 0.60294 -0.73088 0.31981 1.73 0.64493 -0.72997 0.22628 2.07
Gru 0.64493 -0.72997 0.22628 2.07 0.68761 -0.71014 0.15132 3.88
Gru 0.68761 -0.71014 0.15132 3.88 0.70574 -0.68861 0.16658 4.28
Gru 0.64493 -0.72997 0.22628 2.07 0.58522 -0.79604 0.1544 4.11
Gru 0.64493 -0.72997 0.22628 2.07 0.59489 -0.78061 0.19171 3.49
Gru 0.60294 -0.73088 0.31981 1.73 0.67789 -0.63665 0.36762 4.47
Gru 0.67789 -0.63665 0.36762 4.47 0.67754 -0.60688 0.4155 3
Her -0.06215 0.71942 0.6918 3.82 -0.01301 0.60531 0.7959 3.86
Her -0.01301 0.60531 0.7959 3.86 -0.12578 0.60385 0.78712 4.15
Her -0.12578 0.60385 0.78712 4.15 -0.1461 0.60587 0.78204 4.64
Her -0.1461 0.60587 0.78204 4.64 -0.15603 0.59916 0.78529 3.16
Her -0.15603 0.59916 0.78529 3.16 -0.25683 0.62827 0.73439 3.48
Her -0.25683 0.62827 0.73439 3.48 -0.27017 0.67478 0.68679 4.2
Her -0.27017 0.67478 0.68679 4.2 -0.29261 0.72313 0.62567 3.91
Her -0.29261 0.72313 0.62567 3.91 -0.38917 0.67495 0.62689 4.6
Her -0.25683 0.62827 0.73439 3.48 -0.28678 0.52402 0.80198 2.81
Her -0.28678 0.52402 0.80198 2.81 -0.35525 0.36634 0.86 2.78
Her -0.35525 0.36634 0.86 2.78 -0.39203 0.3281 0.85946 3.74
Her -0.28678 0.52402 0.80198 2.81 -0.22097 0.51394 0.82888 3.92
Her -0.22097 0.51394 0.82888 3.92 -0.11433 0.44011 0.89064 4.41
Her -0.11433 0.44011 0.89064 4.41 -0.17691 0.42008 0.89008 3.12
Her -0.05226 0.46519 0.88367 3.42 -0.00851 0.48859 0.87248 3.7
Her -0.00851 0.48859 0.87248 3.7 0.02885 0.48118 0.87615 3.84
Her -0.00851 0.48859 0.87248 3.7 -0.05226 0.46519 0.88367 3.42
Her -0.22097 0.51394 0.82888 3.92 -0.15603 0.59916 0.78529 3.16
Hor 0.33006 -0.67293 -0.66198 3.85 0.44323 -0.81462 -0.37408 5.21
Hor 0.44323 -0.81462 -0.37408 5.21 0.35069 -0.86372 -0.36193 5.12
